subject,session,trial,side_taken,blocked,block_side,visibility,n_preflight_calls,preflight_lat,n_zone1_calls,zone1_lat,n_junction_calls,junction_lat,junction_predicts_side
batA125,20260710,7,LEFT,0,,normal,66,-0.0988,77,-0.0968,9,1.2917,1
batA125,20260710,8,RIGHT,0,,normal,3,-0.3356,15,-0.1099,16,-0.5523,1
batA125,20260710,9,RIGHT,0,,normal,42,-0.1402,51,-0.1153,15,-0.7427,1
batA125,20260710,10,LEFT,0,,normal,41,-0.197,49,-0.1768,7,1.0287,1
batA125,20260710,11,LEFT,0,,normal,42,-0.209,51,-0.1853,12,1.1878,1
batA125,20260710,12,RIGHT,0,,normal,13,-0.1212,22,-0.0866,12,-0.9097,1
batA125,20260710,13,RIGHT,0,,normal,32,-0.2019,40,-0.1778,13,-0.9536,1
batA125,20260710,14,LEFT,0,,normal,23,-0.0497,31,-0.0602,8,1.3211,1
batA125,20260710,15,LEFT,0,,normal,40,-0.179,50,-0.1565,13,1.3006,1
batA125,20260710,16,LEFT,0,,normal,45,-0.3281,54,-0.2795,10,1.2303,1
batA125,20260714,3,LEFT,0,,normal,39,-0.1569,45,-0.1374,3,0.8587,1
batA125,20260714,5,RIGHT,1,LEFT,invisible,29,-0.1601,36,-0.1417,4,-0.2621,1
batA125,20260714,6,LEFT,0,,normal,27,-0.1143,35,-0.1065,11,1.2777,1
batA125,20260714,7,RIGHT,1,LEFT,invisible,24,-0.1565,31,-0.1351,14,-0.968,1
batA125,20260714,8,RIGHT,1,LEFT,invisible,30,-0.174,37,-0.1463,17,-0.867,1
batA125,20260714,10,RIGHT,1,LEFT,invisible,25,-0.2116,33,-0.1763,17,-1.0497,1
batA125,20260714,11,RIGHT,1,LEFT,invisible,32,-0.1014,40,-0.0927,11,-0.9953,1
batA125,20260714,12,LEFT,0,,normal,24,-0.2067,31,-0.1588,12,1.2576,1
batA125,20260714,13,RIGHT,1,LEFT,invisible,34,-0.2214,42,-0.1941,13,-1.0735,1
batA125,20260714,14,RIGHT,1,LEFT,invisible,39,-0.0926,47,-0.0887,14,-0.8537,1
batA125,20260714,15,RIGHT,1,LEFT,invisible,37,-0.2168,45,-0.1931,13,-1.1218,1
batA125,20260714,16,LEFT,0,,normal,42,-0.2407,53,-0.209,12,1.3647,1
